model,threshold,TP,FP,FN,precision,recall,f1
v4_hn2,0.5,414,115,25,0.7826,0.9431,0.8554
v4_hn2,0.55,414,112,25,0.7871,0.9431,0.858
v4_hn2,0.6,413,108,26,0.7927,0.9408,0.8604
v4_hn2,0.65,413,98,26,0.8082,0.9408,0.8695
v4_hn2,0.7,412,93,27,0.8158,0.9385,0.8729
v4_hn2,0.75,411,88,28,0.8236,0.9362,0.8763
v4_hn2,0.8,411,83,28,0.832,0.9362,0.881
v4_hn2,0.85,408,78,31,0.8395,0.9294,0.8822
v4_hn2,0.9,396,70,43,0.8498,0.9021,0.8751
v5_hn3,0.5,414,115,25,0.7826,0.9431,0.8554
v5_hn3,0.55,414,112,25,0.7871,0.9431,0.858
v5_hn3,0.6,413,106,26,0.7958,0.9408,0.8622
v5_hn3,0.65,413,96,26,0.8114,0.9408,0.8713
v5_hn3,0.7,413,92,26,0.8178,0.9408,0.875
v5_hn3,0.75,411,89,28,0.822,0.9362,0.8754
v5_hn3,0.8,411,83,28,0.832,0.9362,0.881
v5_hn3,0.85,408,77,31,0.8412,0.9294,0.8831
v5_hn3,0.9,396,70,43,0.8498,0.9021,0.8751
